id,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Age_Range,Complain,Days_Customer,Education,Income,Income_Level,Income_Per,Kidhome,Marital_Status,NumAcceptedCmp,NumCatalogPurchases,NumDealsPurchases,NumPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Perferred_Purchase,Recency,Response,Teenhome,target
0,0,0,0,0,0,48,4,0,3267,3,46014.0,0.28334267258631624,23007.0,1,3,0,1,7,26,7,7,7,2,21,0,1,541
1,0,0,1,0,0,60,6,0,2779,2,76624.0,0.775727142958381,76624.0,0,2,1,7,1,23,7,5,1,1,68,0,1,899
2,0,0,0,0,0,71,7,0,3190,2,75903.0,0.6673729931243076,75903.0,0,1,0,6,2,23,7,6,3,2,50,0,1,901
3,0,0,0,0,0,48,4,0,2835,1,18393.0,0.11325948139436073,9196.5,1,1,0,0,2,8,3,3,7,0,2,0,0,50
4,1,0,0,0,0,76,7,0,2762,4,64014.0,0.5628396082086271,21338.0,2,3,1,2,7,22,5,7,7,0,56,0,1,444
5,0,0,0,0,0,70,7,0,3269,2,47958.0,0.42166810276610334,47958.0,0,2,0,3,2,16,5,6,5,0,8,0,1,407
6,0,0,0,0,0,51,5,0,3076,2,22804.0,0.14457342471137935,11402.0,1,2,0,0,1,5,2,2,7,0,75,0,0,26
7,0,0,0,0,0,44,4,0,3211,2,54162.0,0.3335160132268453,27081.0,1,4,0,0,1,5,3,1,4,2,31,0,1,42
8,0,0,0,1,0,54,5,0,2898,2,45688.0,0.2896540356171505,45688.0,0,1,1,1,2,14,7,3,4,2,20,0,1,306
9,0,0,0,0,0,70,7,0,3239,2,61823.0,0.5435753600506444,61823.0,0,2,0,2,4,24,7,7,7,2,26,0,1,884
10,0,0,0,0,0,56,5,0,2933,2,67272.0,0.4264928708640551,67272.0,0,0,0,2,3,23,7,6,5,2,12,0,1,733
11,0,0,0,0,0,40,4,0,2841,2,45203.0,0.2783487379692975,15067.666666666666,2,3,1,1,1,8,3,3,6,0,4,1,0,147
12,0,0,0,1,0,73,7,0,3379,3,62845.0,0.5525612393831221,31422.5,1,1,1,4,7,28,7,3,7,2,3,0,1,1178
13,0,0,0,0,0,71,7,0,2858,2,53790.0,0.4729456451017286,53790.0,0,1,0,2,3,20,7,7,6,2,86,0,2,542
14,0,0,0,0,0,48,4,0,3095,2,30631.0,0.18861801634266642,15315.5,1,1,0,1,1,7,2,3,7,0,75,0,0,70
